[U1, U2, U3] 
[  3.34905781e-05  -1.73348767e+03  -1.06850243e+01]
[ -3.37415368e-05  -1.80358875e+03   1.08845167e+01]
[  3.40359111e-05  -1.80358875e+03  -1.08844471e+01]
[ -3.44158616e-05  -1.87498157e+03   1.10825777e+01]
[  3.47555251e-05  -1.87498157e+03  -1.10825062e+01]
[ -3.48555914e-05  -1.94765710e+03   1.12792196e+01]
[  3.52428433e-05  -1.94765710e+03  -1.12791471e+01]
[ -3.54940348e-05  -2.02160608e+03   1.14743881e+01]
[  3.59297228e-05  -2.02160608e+03  -1.14743137e+01]
[ -3.58533725e-05  -2.09681860e+03   1.16680260e+01]
[  3.63395120e-05  -2.09681860e+03  -1.16679497e+01]
[ -3.64402040e-05  -2.17328491e+03   1.18600740e+01]
[  3.69781410e-05  -2.17328491e+03  -1.18599968e+01]
[ -3.66951608e-05  -2.25099390e+03   1.20504704e+01]
[  3.72866525e-05  -2.25099390e+03  -1.20503912e+01]
[ -3.72119030e-05  -2.32993481e+03   1.22391520e+01]
[  3.78587538e-05  -2.32993481e+03  -1.22390718e+01]
[ -3.73340226e-05  -2.41009644e+03   1.24260530e+01]
[  3.80377678e-05  -2.41009644e+03  -1.24259710e+01]
[ -3.77580873e-05  -2.49146704e+03   1.26111059e+01]
[  3.85209933e-05  -2.49146704e+03  -1.26110220e+01]
[ -3.77135329e-05  -2.57403418e+03   1.27942381e+01]
[  3.85369203e-05  -2.57403418e+03  -1.27941532e+01]
[ -3.80181482e-05  -2.65778516e+03   1.29753780e+01]
[  3.89048109e-05  -2.65778516e+03  -1.29752903e+01]
[ -3.77657379e-05  -2.74270679e+03   1.31544485e+01]
[  3.87167129e-05  -2.74270679e+03  -1.31543598e+01]
[ -3.79198173e-05  -2.82878540e+03   1.33313713e+01]
[  3.89384368e-05  -2.82878540e+03  -1.33312817e+01]
[ -3.74118572e-05  -2.91600684e+03   1.35060654e+01]
[  3.84988962e-05  -2.91600684e+03  -1.35059738e+01]
[ -3.73779039e-05  -3.00435620e+03   1.36784458e+01]
[  3.85373278e-05  -3.00435620e+03  -1.36783524e+01]
[ -3.65568776e-05  -3.09381812e+03   1.38484259e+01]
[  3.77891156e-05  -3.09381812e+03  -1.38483295e+01]
[ -3.62909886e-05  -3.18437695e+03   1.40159121e+01]
[  3.76006865e-05  -3.18437695e+03  -1.40158157e+01]
[ -3.50887603e-05  -3.27601587e+03   1.41808138e+01]
[  3.64759653e-05  -3.27601587e+03  -1.41807146e+01]
[ -3.45390436e-05  -3.36871802e+03   1.43430309e+01]
