[U1, U2, U3] 
[  3.38133077e-06  -1.64938126e+02  -3.37840915e+00]
[ -3.67018310e-06  -1.87625137e+02   3.60220909e+00]
[  3.57934687e-06  -1.87625137e+02  -3.60218811e+00]
[ -3.86308147e-06  -2.11765793e+02   3.82570624e+00]
[  3.75480454e-06  -2.11765793e+02  -3.82568383e+00]
[ -4.02574915e-06  -2.37358200e+02   4.04890108e+00]
[  3.94595645e-06  -2.37358200e+02  -4.04887724e+00]
[ -4.21287450e-06  -2.64400299e+02   4.27177334e+00]
[  4.12059808e-06  -2.64400299e+02  -4.27174854e+00]
[ -4.37462404e-06  -2.92889984e+02   4.49430370e+00]
[  4.30725777e-06  -2.92889984e+02  -4.49427700e+00]
[ -4.55806776e-06  -3.22824890e+02   4.71647072e+00]
[  4.48235915e-06  -3.22824890e+02  -4.71644258e+00]
[ -4.72008014e-06  -3.54202667e+02   4.93825340e+00]
[  4.66646361e-06  -3.54202667e+02  -4.93822384e+00]
[ -4.90157163e-06  -3.87020691e+02   5.15962982e+00]
[  4.84308657e-06  -3.87020691e+02  -5.15959930e+00]
[ -5.06474953e-06  -4.21276276e+02   5.38057852e+00]
[  5.02616376e-06  -4.21276276e+02  -5.38054657e+00]
[ -5.24583538e-06  -4.56966522e+02   5.60107613e+00]
[  5.20531057e-06  -4.56966522e+02  -5.60104275e+00]
[ -5.41103827e-06  -4.94088501e+02   5.82109928e+00]
[  5.38873019e-06  -4.94088501e+02  -5.82106447e+00]
[ -5.59285218e-06  -5.32638977e+02   6.04062414e+00]
[  5.57109661e-06  -5.32638977e+02  -6.04058790e+00]
[ -5.76058937e-06  -5.72614685e+02   6.25962591e+00]
[  5.75579224e-06  -5.72614685e+02  -6.25958824e+00]
[ -5.94413859e-06  -6.14012085e+02   6.47807932e+00]
[  5.94202857e-06  -6.14012085e+02  -6.47804022e+00]
[ -6.11461246e-06  -6.56827576e+02   6.69595766e+00]
[  6.12854365e-06  -6.56827576e+02  -6.69591761e+00]
[ -6.30030490e-06  -7.01057312e+02   6.91323519e+00]
[  6.31878402e-06  -7.01057312e+02  -6.91319323e+00]
[ -6.47417482e-06  -7.46697327e+02   7.12988329e+00]
[  6.50806260e-06  -7.46697327e+02  -7.12983990e+00]
[ -6.66220240e-06  -7.93743408e+02   7.34587336e+00]
[  6.70226200e-06  -7.93743408e+02  -7.34582901e+00]
[ -6.83874214e-06  -8.42191162e+02   7.56117678e+00]
[  6.89382478e-06  -8.42191162e+02  -7.56113052e+00]
[ -7.02922716e-06  -8.92036072e+02   7.77576256e+00]
[  7.09192000e-06  -8.92036072e+02  -7.77571487e+00]
[ -7.20843536e-06  -9.43273315e+02   7.98959923e+00]
[  7.28595842e-06  -9.43273315e+02  -7.98955059e+00]
[ -7.40118367e-06  -9.95898010e+02   8.20265579e+00]
[  7.48762659e-06  -9.95898010e+02  -8.20260525e+00]
[ -7.58228953e-06  -1.04990491e+03   8.41489697e+00]
[  7.68353675e-06  -1.04990491e+03  -8.41484547e+00]
[ -7.77633431e-06  -1.10528857e+03   8.62629032e+00]
[  7.88769285e-06  -1.10528857e+03  -8.62623692e+00]
[ -7.95852611e-06  -1.16204346e+03   8.83679867e+00]
[  8.08480581e-06  -1.16204346e+03  -8.83674431e+00]
[ -8.15308158e-06  -1.22016357e+03   9.04638672e+00]
[  8.29060264e-06  -1.22016357e+03  -9.04633045e+00]
[ -8.33515423e-06  -1.27964294e+03   9.25501537e+00]
[  8.48782202e-06  -1.27964294e+03  -9.25495720e+00]
[ -8.52813719e-06  -1.34047522e+03   9.46264553e+00]
[  8.69311225e-06  -1.34047522e+03  -9.46258640e+00]
[ -8.70832082e-06  -1.40265356e+03   9.66923714e+00]
[  8.88878640e-06  -1.40265356e+03  -9.66917610e+00]
[ -8.89791500e-06  -1.46617139e+03   9.87474728e+00]
[  9.09171922e-06  -1.46617139e+03  -9.87468529e+00]
[ -9.07389676e-06  -1.53102124e+03   1.00791340e+01]
[  9.28361806e-06  -1.53102124e+03  -1.00790710e+01]
[ -9.25735276e-06  -1.59719592e+03   1.02823524e+01]
[  9.48143224e-06  -1.59719592e+03  -1.02822866e+01]
[ -9.42669703e-06  -1.66468750e+03   1.04843540e+01]
[  9.66719017e-06  -1.66468750e+03  -1.04842873e+01]
[ -9.60029683e-06  -1.73348792e+03   1.06850929e+01]
[  9.85615770e-06  -1.73348792e+03  -1.06850243e+01]
[ -9.75960938e-06  -1.80358899e+03   1.08845177e+01]
[  1.00324687e-05  -1.80358899e+03  -1.08844481e+01]
[ -9.91910201e-06  -1.87498181e+03   1.10825777e+01]
[  1.02083495e-05  -1.87498181e+03  -1.10825071e+01]
[ -1.00648795e-05  -1.94765747e+03   1.12792196e+01]
[  1.03717603e-05  -1.94765747e+03  -1.12791471e+01]
[ -1.02049789e-05  -2.02160645e+03   1.14743881e+01]
[  1.05292911e-05  -2.02160645e+03  -1.14743147e+01]
[ -1.03322263e-05  -2.09681909e+03   1.16680260e+01]
[  1.06748803e-05  -2.09681909e+03  -1.16679506e+01]
[ -1.04462097e-05  -2.17328516e+03   1.18600740e+01]
[  1.08073791e-05  -2.17328516e+03  -1.18599968e+01]
[ -1.05490881e-05  -2.25099414e+03   1.20504713e+01]
[  1.09293633e-05  -2.25099414e+03  -1.20503922e+01]
[ -1.06291491e-05  -2.32993506e+03   1.22391529e+01]
[  1.10290648e-05  -2.32993506e+03  -1.22390718e+01]
[ -1.07013238e-05  -2.41009692e+03   1.24260540e+01]
[  1.11211630e-05  -2.41009692e+03  -1.24259720e+01]
[ -1.07378573e-05  -2.49146729e+03   1.26111059e+01]
[  1.11785166e-05  -2.49146729e+03  -1.26110220e+01]
[ -1.07716060e-05  -2.57403442e+03   1.27942381e+01]
[  1.12330508e-05  -2.57403442e+03  -1.27941532e+01]
[ -1.07529131e-05  -2.65778540e+03   1.29753780e+01]
[  1.12364387e-05  -2.65778540e+03  -1.29752903e+01]
[ -1.07389997e-05  -2.74270703e+03   1.31544485e+01]
[  1.12442012e-05  -2.74270703e+03  -1.31543598e+01]
[ -1.06512407e-05  -2.82878564e+03   1.33313713e+01]
[  1.11798545e-05  -2.82878564e+03  -1.33312807e+01]
[ -1.05798254e-05  -2.91600708e+03   1.35060654e+01]
[  1.11310674e-05  -2.91600708e+03  -1.35059729e+01]
[ -1.04062956e-05  -3.00435645e+03   1.36784458e+01]
[  1.09823777e-05  -3.00435645e+03  -1.36783514e+01]
[ -1.02646500e-05  -3.09381836e+03   1.38484249e+01]
[  1.08643453e-05  -3.09381836e+03  -1.38483295e+01]
[ -9.98540600e-06  -3.18437720e+03   1.40159121e+01]
[  1.06114876e-05  -3.18437720e+03  -1.40158148e+01]
[ -9.75961484e-06  -3.27601636e+03   1.41808119e+01]
[  1.04103365e-05  -3.27601636e+03  -1.41807137e+01]
[ -9.35085518e-06  -3.36871851e+03   1.43430290e+01]
[  1.00296184e-05  -3.36871851e+03  -1.43429279e+01]
[ -9.02482134e-06  -3.46246582e+03   1.45024605e+01]
[  9.72926864e-06  -3.46246582e+03  -1.45023584e+01]
[ -8.45814338e-06  -3.55724023e+03   1.46590023e+01]
[  9.19246577e-06  -3.55724023e+03  -1.46588984e+01]
[ -8.01372153e-06  -3.65302246e+03   1.48125458e+01]
[  8.77479852e-06  -3.65302246e+03  -1.48124399e+01]
[ -7.25532936e-06  -3.74979272e+03   1.49629774e+01]
[  8.04827687e-06  -3.74979272e+03  -1.49628696e+01]
[ -6.67248423e-06  -3.84753003e+03   1.51101809e+01]
[  7.49327273e-06  -3.84753003e+03  -1.51100712e+01]
[ -5.68275163e-06  -3.94621338e+03   1.52540340e+01]
[  6.53758389e-06  -3.94621338e+03  -1.52539225e+01]
[ -4.93788184e-06  -4.04582056e+03   1.53944130e+01]
[  5.82165740e-06  -4.04582056e+03  -1.53942995e+01]
[ -3.67004441e-06  -4.14632812e+03   1.55311852e+01]
[  4.59029843e-06  -4.14632812e+03  -1.55310698e+01]
[ -2.73806290e-06  -4.24771289e+03   1.56642170e+01]
[  3.68835617e-06  -4.24771289e+03  -1.56640997e+01]
[ -1.13541228e-06  -4.34994971e+03   1.57933683e+01]
[  2.12482860e-06  -4.34994971e+03  -1.57932491e+01]
[  1.10097531e-08  -4.45301318e+03   1.59184933e+01]
[  1.00951661e-06  -4.45301318e+03  -1.59183712e+01]
[  2.01331500e-06  -4.55687598e+03   1.60394402e+01]
[ -9.50679862e-07  -4.55687598e+03  -1.60393162e+01]
[  3.40277711e-06  -4.66151074e+03   1.61560555e+01]
[ -2.30802948e-06  -4.66151074e+03  -1.61559296e+01]
[  5.88126113e-06  -4.76688916e+03   1.62681751e+01]
[ -4.74107264e-06  -4.76688916e+03  -1.62680473e+01]
[  7.54054008e-06  -4.87298096e+03   1.63756294e+01]
[ -6.36729055e-06  -4.87298096e+03  -1.63754997e+01]
[  1.05809622e-05  -4.97975586e+03   1.64782486e+01]
[ -9.35855769e-06  -4.97975586e+03  -1.64781170e+01]
[  1.25351753e-05  -5.08718115e+03   1.65758476e+01]
[ -1.12788230e-05  -5.08718115e+03  -1.65757141e+01]
[  1.62316555e-05  -5.19522412e+03   1.66682434e+01]
[ -1.49220350e-05  -5.19522412e+03  -1.66681061e+01]
[  1.84963192e-05  -5.30385010e+03   1.67552357e+01]
[ -1.71518714e-05  -5.30385010e+03  -1.67550983e+01]
[  2.29461075e-05  -5.41302295e+03   1.68366280e+01]
[ -2.15439159e-05  -5.41302295e+03  -1.68364868e+01]
[  2.55178675e-05  -5.52270605e+03   1.69122105e+01]
[ -2.40801946e-05  -5.52270605e+03  -1.69120674e+01]
[  3.08112249e-05  -5.63286133e+03   1.69817638e+01]
[ -2.93101311e-05  -5.63286133e+03  -1.69816189e+01]
[  3.36457888e-05  -5.74344775e+03   1.70450649e+01]
[ -3.21127263e-05  -5.74344775e+03  -1.70449162e+01]
[  3.98427219e-05  -5.85442529e+03   1.71018810e+01]
[ -3.82346661e-05  -5.85442529e+03  -1.71017303e+01]
[  4.28238709e-05  -5.96574951e+03   1.71519680e+01]
[ -4.11976107e-05  -5.96574951e+03  -1.71518135e+01]
[  4.98938170e-05  -6.07737695e+03   1.71950779e+01]
[ -4.81690222e-05  -6.07737695e+03  -1.71949234e+01]
[  5.28213932e-05  -6.18926123e+03   1.72309475e+01]
[ -5.10219033e-05  -6.18926123e+03  -1.72307892e+01]
[  6.05094101e-05  -6.30135400e+03   1.72593136e+01]
[ -5.86642855e-05  -6.30135400e+03  -1.72591515e+01]
[  6.31165094e-05  -6.41360596e+03   1.72798805e+01]
[ -6.05956593e-05  -6.41360596e+03  -1.72797184e+01]
[  7.06053543e-05  -6.52596533e+03   1.72923794e+01]
[ -6.90299785e-05  -6.52596533e+03  -1.72922153e+01]
[  1.00897356e-04  -6.63837939e+03   1.72967396e+01]
[ -9.88647735e-05  -6.63837939e+03  -1.72965736e+01]
[  3.70382242e-39  -1.60705336e-38   1.58913738e-34]
[  3.87185772e-39  -2.18319498e-40  -1.58679627e-34]
[  3.02740887e-07  -7.34169424e-01   2.25898847e-01]
[ -1.91258934e-07  -7.34169304e-01  -2.25897670e-01]
[  6.51046435e-07  -2.93659449e+00   4.51772213e-01]
[ -5.19010769e-07  -2.93659449e+00  -4.51769769e-01]
[  9.41110841e-07  -6.60706520e+00   6.77606404e-01]
[ -7.09285700e-07  -6.60706472e+00  -6.77602649e-01]
[  1.17858201e-06  -1.17452669e+01   9.03383315e-01]
[ -1.05050390e-06  -1.17452669e+01  -9.03378189e-01]
[  1.45941624e-06  -1.83507805e+01   1.12908792e+00]
[ -1.25020790e-06  -1.83507805e+01  -1.12908149e+00]
[  1.67542953e-06  -2.64230766e+01   1.35470271e+00]
[ -1.54684813e-06  -2.64230766e+01  -1.35469496e+00]
[  1.93999676e-06  -3.59615211e+01   1.58021200e+00]
[ -1.74602269e-06  -3.59615211e+01  -1.58020294e+00]
[  2.14182637e-06  -4.69653740e+01   1.80559850e+00]
[ -2.00978525e-06  -4.69653740e+01  -1.80558801e+00]
[  2.38924599e-06  -5.94337807e+01   2.03084564e+00]
[ -2.20427228e-06  -5.94337807e+01  -2.03083396e+00]
[  2.57958231e-06  -7.33657837e+01   2.25593615e+00]
[ -2.44488342e-06  -7.33657837e+01  -2.25592303e+00]
[  2.81154189e-06  -8.87603073e+01   2.48085308e+00]
[ -2.63362654e-06  -8.87603073e+01  -2.48083878e+00]
[  2.99356338e-06  -1.05616158e+02   2.70557857e+00]
[ -2.85674128e-06  -1.05616158e+02  -2.70556283e+00]
[  3.21246239e-06  -1.23932045e+02   2.93009520e+00]
[ -3.04031323e-06  -1.23932045e+02  -2.93007827e+00]
[  3.38875793e-06  -1.43706543e+02   3.15438485e+00]
[ -3.25007818e-06  -1.43706543e+02  -3.15436649e+00]
[  3.59725027e-06  -1.64938126e+02   3.37842894e+00]
[ -3.42971725e-06  -1.64938126e+02  -3.37840915e+00]
[  3.76990056e-06  -1.87625137e+02   3.60220909e+00]
[ -3.62955234e-06  -1.87625137e+02  -3.60218811e+00]
[  3.97058830e-06  -2.11765793e+02   3.82570624e+00]
[ -3.80667825e-06  -2.11765793e+02  -3.82568383e+00]
[  4.14119086e-06  -2.37358200e+02   4.04890108e+00]
[ -3.99931787e-06  -2.37358200e+02  -4.04887724e+00]
[  4.33641799e-06  -2.64400299e+02   4.27177334e+00]
[ -4.17529782e-06  -2.64400299e+02  -4.27174854e+00]
[  4.50641755e-06  -2.92889984e+02   4.49430370e+00]
[ -4.36312803e-06  -2.92889984e+02  -4.49427700e+00]
[  4.69827228e-06  -3.22824890e+02   4.71647072e+00]
[ -4.53925486e-06  -3.22824890e+02  -4.71644258e+00]
[  4.86884392e-06  -3.54202667e+02   4.93825340e+00]
[ -4.72423017e-06  -3.54202667e+02  -4.93822384e+00]
[  5.05904427e-06  -3.87020691e+02   5.15962982e+00]
[ -4.90157618e-06  -3.87020691e+02  -5.15959930e+00]
[  5.23105928e-06  -4.21276276e+02   5.38057852e+00]
[ -5.08521271e-06  -4.21276276e+02  -5.38054657e+00]
[  5.42111820e-06  -4.56966522e+02   5.60107613e+00]
[ -5.26476788e-06  -4.56966522e+02  -5.60104275e+00]
[  5.59534647e-06  -4.94088501e+02   5.82109928e+00]
[ -5.44836712e-06  -4.94088501e+02  -5.82106447e+00]
[  5.78630170e-06  -5.32638977e+02   6.04062414e+00]
[ -5.63075082e-06  -5.32638977e+02  -6.04058790e+00]
[  5.96332893e-06  -5.72614685e+02   6.25962591e+00]
[ -5.81534141e-06  -5.72614685e+02  -6.25958824e+00]
[  6.15631097e-06  -6.14012085e+02   6.47807932e+00]
[ -6.00134854e-06  -6.14012085e+02  -6.47804022e+00]
[  6.33633817e-06  -6.56827576e+02   6.69595766e+00]
[ -6.18749254e-06  -6.56827576e+02  -6.69591761e+00]
[  6.53170628e-06  -7.01057312e+02   6.91323519e+00]
[ -6.37722860e-06  -7.01057312e+02  -6.91319323e+00]
[  6.71535417e-06  -7.46697327e+02   7.12988329e+00]
[ -6.56585144e-06  -7.46697327e+02  -7.12983990e+00]
[  6.91329387e-06  -7.93743408e+02   7.34587336e+00]
[ -6.75928595e-06  -7.93743408e+02  -7.34582901e+00]
[  7.09984079e-06  -8.42191162e+02   7.56117678e+00]
[ -6.94993378e-06  -8.42191162e+02  -7.56113052e+00]
[  7.30047668e-06  -8.92036072e+02   7.77576256e+00]
[ -7.14702810e-06  -8.92036072e+02  -7.77571487e+00]
[  7.48990442e-06  -9.43273315e+02   7.98959923e+00]
[ -7.33989827e-06  -9.43273315e+02  -7.98955059e+00]
[  7.69297731e-06  -9.95898010e+02   8.20265579e+00]
[ -7.54027997e-06  -9.95898010e+02  -8.20260525e+00]
[  7.88443413e-06  -1.04990491e+03   8.41489697e+00]
[ -7.73470674e-06  -1.04990491e+03  -8.41484547e+00]
[  8.08877667e-06  -1.10528857e+03   8.62629032e+00]
[ -7.93711388e-06  -1.10528857e+03  -8.62623692e+00]
[  8.28125940e-06  -1.16204346e+03   8.83679867e+00]
[ -8.13225506e-06  -1.16204346e+03  -8.83674431e+00]
[  8.48622858e-06  -1.22016357e+03   9.04638672e+00]
[ -8.33599643e-06  -1.22016357e+03  -9.04633045e+00]
[  8.67882318e-06  -1.27964294e+03   9.25501537e+00]
[ -8.53105848e-06  -1.27964294e+03  -9.25495720e+00]
[  8.88264822e-06  -1.34047522e+03   9.46264553e+00]
[ -8.73431509e-06  -1.34047522e+03  -9.46258640e+00]
[  9.07377762e-06  -1.40265356e+03   9.66923714e+00]
[ -8.92785283e-06  -1.40265356e+03  -9.66917610e+00]
[  9.27438941e-06  -1.46617139e+03   9.87474728e+00]
[ -9.12853466e-06  -1.46617139e+03  -9.87468529e+00]
[  9.46144246e-06  -1.53102124e+03   1.00791340e+01]
[ -9.31804061e-06  -1.53102124e+03  -1.00790710e+01]
[  9.65609343e-06  -1.59719592e+03   1.02823524e+01]
[ -9.51341281e-06  -1.59719592e+03  -1.02822866e+01]
[  9.83662630e-06  -1.66468750e+03   1.04843540e+01]
[ -9.69653956e-06  -1.66468750e+03  -1.04842873e+01]
[  1.00214929e-05  -1.73348792e+03   1.06850929e+01]
[ -9.88278498e-06  -1.73348792e+03  -1.06850243e+01]
[  1.01920223e-05  -1.80358899e+03   1.08845177e+01]
[ -1.00561556e-05  -1.80358899e+03  -1.08844481e+01]
[  1.03625462e-05  -1.87498181e+03   1.10825777e+01]
[ -1.02287504e-05  -1.87498181e+03  -1.10825071e+01]
[  1.05192557e-05  -1.94765747e+03   1.12792196e+01]
[ -1.03886168e-05  -1.94765747e+03  -1.12791471e+01]
[  1.06703992e-05  -2.02160645e+03   1.14743881e+01]
[ -1.05425543e-05  -2.02160645e+03  -1.14743147e+01]
[  1.08087770e-05  -2.09681909e+03   1.16680260e+01]
[ -1.06844873e-05  -2.09681909e+03  -1.16679506e+01]
[  1.09343273e-05  -2.17328516e+03   1.18600740e+01]
[ -1.08136110e-05  -2.17328516e+03  -1.18599968e+01]
[  1.10488527e-05  -2.25099414e+03   1.20504713e+01]
[ -1.09321572e-05  -2.25099414e+03  -1.20503922e+01]
[  1.11405916e-05  -2.32993506e+03   1.22391529e+01]
[ -1.10283063e-05  -2.32993506e+03  -1.22390718e+01]
[  1.12244525e-05  -2.41009692e+03   1.24260540e+01]
[ -1.11167301e-05  -2.41009692e+03  -1.24259720e+01]
[  1.12727839e-05  -2.49146729e+03   1.26111059e+01]
[ -1.11703894e-05  -2.49146729e+03  -1.26110220e+01]
[  1.13182550e-05  -2.57403442e+03   1.27942381e+01]
[ -1.12210382e-05  -2.57403442e+03  -1.27941532e+01]
[  1.13113165e-05  -2.65778540e+03   1.29753780e+01]
[ -1.12204461e-05  -2.65778540e+03  -1.29752903e+01]
[  1.13090291e-05  -2.74270703e+03   1.31544485e+01]
[ -1.12239995e-05  -2.74270703e+03  -1.31543598e+01]
[  1.12326907e-05  -2.82878564e+03   1.33313713e+01]
[ -1.11551344e-05  -2.82878564e+03  -1.33312807e+01]
[  1.11725076e-05  -2.91600708e+03   1.35060654e+01]
[ -1.11015452e-05  -2.91600708e+03  -1.35059729e+01]
[  1.10103983e-05  -3.00435645e+03   1.36784458e+01]
[ -1.09481407e-05  -3.00435645e+03  -1.36783514e+01]
[  1.08801669e-05  -3.09381836e+03   1.38484249e+01]
[ -1.08252998e-05  -3.09381836e+03  -1.38483295e+01]
[  1.06124016e-05  -3.18437720e+03   1.40159121e+01]
[ -1.05676163e-05  -3.18437720e+03  -1.40158148e+01]
[  1.03980228e-05  -3.27601636e+03   1.41808119e+01]
[ -1.03614930e-05  -3.27601636e+03  -1.41807137e+01]
[  1.00006700e-05  -3.36871851e+03   1.43430290e+01]
[ -9.97572351e-06  -3.36871851e+03  -1.43429279e+01]
[  9.68605218e-06  -3.46246582e+03   1.45024605e+01]
[ -9.67026062e-06  -3.46246582e+03  -1.45023584e+01]
[  9.13078657e-06  -3.55724023e+03   1.46590023e+01]
[ -9.12827818e-06  -3.55724023e+03  -1.46588984e+01]
[  8.69783162e-06  -3.65302246e+03   1.48125458e+01]
[ -8.70543226e-06  -3.65302246e+03  -1.48124399e+01]
[  7.95084179e-06  -3.74979272e+03   1.49629774e+01]
[ -7.97361736e-06  -3.74979272e+03  -1.49628696e+01]
[  7.37928985e-06  -3.84753003e+03   1.51101809e+01]
[ -7.41315489e-06  -3.84753003e+03  -1.51100712e+01]
[  6.40071175e-06  -3.94621338e+03   1.52540340e+01]
[ -6.45183354e-06  -3.94621338e+03  -1.52539225e+01]
[  5.66667768e-06  -4.04582056e+03   1.53944130e+01]
[ -5.72991485e-06  -4.04582056e+03  -1.53942995e+01]
[  4.40945450e-06  -4.14632812e+03   1.55311852e+01]
[ -4.49230538e-06  -4.14632812e+03  -1.55310698e+01]
[  3.48823596e-06  -4.24771289e+03   1.56642170e+01]
[ -3.58423063e-06  -4.24771289e+03  -1.56640997e+01]
[  1.89635466e-06  -4.34994971e+03   1.57933683e+01]
[ -2.01454304e-06  -4.34994971e+03  -1.57932491e+01]
[  7.60705007e-07  -4.45301318e+03   1.59184933e+01]
[ -8.93057518e-07  -4.45301318e+03  -1.59183712e+01]
[ -1.23091615e-06  -4.55687598e+03   1.60394402e+01]
[  1.07343317e-06  -4.55687598e+03  -1.60393162e+01]
[ -2.60977390e-06  -4.66151074e+03   1.61560555e+01]
[  2.43716636e-06  -4.66151074e+03  -1.61559296e+01]
[ -5.07764162e-06  -4.76688916e+03   1.62681751e+01]
[  4.87660691e-06  -4.76688916e+03  -1.62680473e+01]
[ -6.72636997e-06  -4.87298096e+03   1.63756294e+01]
[  6.50928996e-06  -4.87298096e+03  -1.63754997e+01]
[ -9.75617240e-06  -4.97975586e+03   1.64782486e+01]
[  9.50696176e-06  -4.97975586e+03  -1.64781170e+01]
[ -1.16998881e-05  -5.08718115e+03   1.65758476e+01]
[  1.14337518e-05  -5.08718115e+03  -1.65757141e+01]
[ -1.53860310e-05  -5.19522412e+03   1.66682434e+01]
[  1.50836631e-05  -5.19522412e+03  -1.66681061e+01]
[ -1.76405356e-05  -5.30385010e+03   1.67552357e+01]
[  1.73203662e-05  -5.30385010e+03  -1.67550983e+01]
[ -2.20807578e-05  -5.41302295e+03   1.68366280e+01]
[  2.17198649e-05  -5.41302295e+03  -1.68364868e+01]
[ -2.46433192e-05  -5.52270605e+03   1.69122105e+01]
[  2.42639544e-05  -5.52270605e+03  -1.69120674e+01]
[ -2.99272288e-05  -5.63286133e+03   1.69817638e+01]
[  2.95014597e-05  -5.63286133e+03  -1.69816189e+01]
[ -3.27524140e-05  -5.74344775e+03   1.70450649e+01]
[  3.23116801e-05  -5.74344775e+03  -1.70449162e+01]
[ -3.89398992e-05  -5.85442529e+03   1.71018810e+01]
[  3.84411796e-05  -5.85442529e+03  -1.71017303e+01]
[ -4.19118805e-05  -5.96574951e+03   1.71519680e+01]
[  4.14119422e-05  -5.96574951e+03  -1.71518135e+01]
[ -4.89732338e-05  -6.07737695e+03   1.71950779e+01]
[  4.83917538e-05  -6.07737695e+03  -1.71949234e+01]
[ -5.18922825e-05  -6.18926123e+03   1.72309475e+01]
[  5.12530823e-05  -6.18926123e+03  -1.72307892e+01]
[ -5.95720630e-05  -6.30135400e+03   1.72593136e+01]
[  5.89042174e-05  -6.30135400e+03  -1.72591515e+01]
[ -6.21710788e-05  -6.41360596e+03   1.72798805e+01]
[  6.08444643e-05  -6.41360596e+03  -1.72797184e+01]
[ -6.96516727e-05  -6.52596533e+03   1.72923794e+01]
[  6.92875037e-05  -6.52596533e+03  -1.72922153e+01]
[ -9.99350887e-05  -6.63837939e+03   1.72967396e+01]
[  9.91306879e-05  -6.63837939e+03  -1.72965736e+01]
[  1.64330341e-38  -1.44015927e-38   1.58916975e-34]
[  1.64204785e-38   2.22833641e-39  -1.58668055e-34]
[  8.40868381e-07  -7.34166622e-01   2.25897938e-01]
[ -5.34554829e-07  -7.34166503e-01  -2.25896806e-01]
[  1.85069177e-06  -2.93658805e+00   4.51772064e-01]
[ -1.26842792e-06  -2.93658805e+00  -4.51769501e-01]
[  2.50398921e-06  -6.60705566e+00   6.77605808e-01]
[ -2.00595014e-06  -6.60705566e+00  -6.77601993e-01]
[  3.29792124e-06  -1.17452545e+01   9.03383017e-01]
[ -2.72500870e-06  -1.17452545e+01  -9.03377891e-01]
[  3.90929017e-06  -1.83507652e+01   1.12908733e+00]
[ -3.43180432e-06  -1.83507652e+01  -1.12908089e+00]
[  4.61549143e-06  -2.64230595e+01   1.35470235e+00]
[ -4.07338212e-06  -2.64230595e+01  -1.35469460e+00]
[  5.19876039e-06  -3.59615021e+01   1.58021152e+00]
[ -4.72935744e-06  -3.59615021e+01  -1.58020246e+00]
[  5.83987321e-06  -4.69653511e+01   1.80559814e+00]
[ -5.31397563e-06  -4.69653511e+01  -1.80558777e+00]
[  6.39335576e-06  -5.94337578e+01   2.03084517e+00]
[ -5.92666811e-06  -5.94337578e+01  -2.03083348e+00]
[  6.98335907e-06  -7.33657532e+01   2.25593591e+00]
[ -6.47078286e-06  -7.33657532e+01  -2.25592279e+00]
[  7.51080825e-06  -8.87602768e+01   2.48085260e+00]
[ -7.04727381e-06  -8.87602768e+01  -2.48083830e+00]
[  8.06185653e-06  -1.05616127e+02   2.70557833e+00]
[ -7.56151030e-06  -1.05616127e+02  -2.70556259e+00]
[  8.56864608e-06  -1.23932014e+02   2.93009496e+00]
[ -8.10889105e-06  -1.23932014e+02  -2.93007779e+00]
[  9.09053415e-06  -1.43706512e+02   3.15438437e+00]
[ -8.60136788e-06  -1.43706512e+02  -3.15436602e+00]
[  9.58213150e-06  -1.64938095e+02   3.37842870e+00]
[ -9.12660926e-06  -1.64938095e+02  -3.37840891e+00]
[  1.00827920e-05  -1.87625092e+02   3.60220885e+00]
[ -9.60392299e-06  -1.87625092e+02  -3.60218787e+00]
[  1.05643267e-05  -2.11765747e+02   3.82570601e+00]
[ -1.01134456e-05  -2.11765747e+02  -3.82568359e+00]
[  1.10502842e-05  -2.37358154e+02   4.04890060e+00]
[ -1.05810386e-05  -2.37358154e+02  -4.04887676e+00]
[  1.15263683e-05  -2.64400269e+02   4.27177334e+00]
[ -1.10805240e-05  -2.64400269e+02  -4.27174807e+00]
[  1.20030791e-05  -2.92889923e+02   4.49430323e+00]
[ -1.15429693e-05  -2.92889923e+02  -4.49427700e+00]
[  1.24778271e-05  -3.22824860e+02   4.71647024e+00]
[ -1.20374207e-05  -3.22824860e+02  -4.71644258e+00]
[  1.29496921e-05  -3.54202606e+02   4.93825293e+00]
[ -1.24984126e-05  -3.54202606e+02  -4.93822384e+00]
[  1.34266465e-05  -3.87020630e+02   5.15962982e+00]
[ -1.29921118e-05  -3.87020630e+02  -5.15959883e+00]
[  1.38973828e-05  -4.21276215e+02   5.38057804e+00]
[ -1.34547945e-05  -4.21276215e+02  -5.38054609e+00]
[  1.43794459e-05  -4.56966461e+02   5.60107565e+00]
[ -1.39512558e-05  -4.56966461e+02  -5.60104227e+00]
[  1.48518920e-05  -4.94088440e+02   5.82109880e+00]
[ -1.44180103e-05  -4.94088440e+02  -5.82106447e+00]
[  1.53415222e-05  -5.32638916e+02   6.04062366e+00]
[ -1.49202015e-05  -5.32638916e+02  -6.04058790e+00]
[  1.58178063e-05  -5.72614624e+02   6.25962543e+00]
[ -1.53927958e-05  -5.72614624e+02  -6.25958824e+00]
[  1.63167533e-05  -6.14012024e+02   6.47807884e+00]
[ -1.59028987e-05  -6.14012024e+02  -6.47803974e+00]
[  1.67983526e-05  -6.56827515e+02   6.69595766e+00]
[ -1.63825371e-05  -6.56827515e+02  -6.69591713e+00]
[  1.73079443e-05  -7.01057251e+02   6.91323471e+00]
[ -1.69022333e-05  -7.01057251e+02  -6.91319323e+00]
